invoice_line_no,date,store_id,item_id,sale_bottles,sale_liters,sale_dollars,state_bottle_cost,state_bottle_retail,cogs,gross_margin,margin_pct,is_return,has_cost
INV-200000,2026-05-25,4829,77779,3,1.12,36.3,11.0,12.1,33.0,3.299999999999997,0.09090909090909084,False,True
INV-200001,2026-07-01,2648,11788,5,8.75,73.15,9.75,14.63,48.75,24.400000000000006,0.3335611756664389,False,True
INV-200002,2026-06-30,2633,77779,9,3.38,108.9,11.0,12.1,99.0,9.900000000000006,0.09090909090909095,False,True
INV-200003,2026-06-10,2633,19067,2,1.5,53.98,17.99,26.99,35.98,18.0,0.33345683586513525,False,True
INV-200004,2026-05-30,2501,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200005,2026-03-05,5102,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200006,2026-02-28,4829,64866,4,3.0,149.96,24.99,37.49,99.96,50.000000000000014,0.3334222459322487,False,True
INV-200007,2026-03-24,2190,36308,3,3.0,20.25,4.5,6.75,13.5,6.75,0.3333333333333333,False,True
INV-200008,2026-04-19,2501,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200009,2026-06-10,2190,11788,7,12.25,102.41,9.75,14.63,68.25,34.16,0.3335611756664388,False,True
INV-200010,2026-03-29,2190,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200011,2026-02-10,2501,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200012,2026-06-30,3385,26827,4,3.0,75.0,12.5,18.75,50.0,25.0,0.3333333333333333,False,True
INV-200013,2026-04-27,2648,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200014,2026-02-19,3385,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200015,2026-06-02,2633,36308,4,4.0,27.0,4.5,6.75,18.0,9.0,0.3333333333333333,False,True
INV-200016,2026-04-01,4829,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200017,2026-02-15,2633,11788,7,12.25,102.41,9.75,14.63,68.25,34.16,0.3335611756664388,False,True
INV-200018,2026-04-22,2633,77779,6,2.25,72.6,11.0,12.1,66.0,6.599999999999994,0.09090909090909084,False,True
INV-200019,2026-07-10,2501,11788,3,5.25,43.89,9.75,14.63,29.25,14.64,0.33356117566643884,False,True
INV-200020,2026-03-16,2648,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200021,2026-05-09,2190,64866,1,0.75,37.49,,37.49,,,,False,False
INV-200022,2026-02-24,2633,19067,19,14.25,512.81,17.99,26.99,341.80999999999995,171.0,0.33345683586513525,False,True
INV-200023,2026-04-07,5102,35918,2,3.5,26.98,8.99,13.49,17.98,9.0,0.3335804299481097,False,True
INV-200024,2026-03-15,5102,11788,3,5.25,43.89,9.75,14.63,29.25,14.64,0.33356117566643884,False,True
INV-200025,2026-03-27,4829,36308,2,2.0,13.5,4.5,6.75,9.0,4.5,0.3333333333333333,False,True
INV-200026,2026-04-17,5102,19067,3,2.25,80.97,17.99,26.99,53.97,27.0,0.33345683586513525,False,True
INV-200027,2026-06-04,4829,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200028,2026-05-31,2633,64866,3,2.25,112.47,24.99,37.49,74.97,37.5,0.3334222459322486,False,True
INV-200029,2026-04-22,2648,43336,4,3.0,49.52,8.25,12.38,33.0,16.520000000000003,0.3336025848142165,False,True
INV-200030,2026-05-06,4829,11788,9,15.75,131.67,9.75,14.63,87.75,43.91999999999999,0.3335611756664388,False,True
INV-200031,2026-03-30,3385,26827,16,12.0,300.0,12.5,18.75,200.0,100.0,0.3333333333333333,False,True
INV-200032,2026-04-01,2190,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200033,2026-02-28,2633,35918,7,12.25,94.43,8.99,13.49,62.93,31.500000000000007,0.33358042994810977,False,True
INV-200034,2026-03-08,3385,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200035,2026-05-10,2190,35918,2,3.5,26.98,8.99,13.49,17.98,9.0,0.3335804299481097,False,True
INV-200036,2026-05-13,2648,35918,15,26.25,202.35,8.99,13.49,134.85,67.5,0.3335804299481097,False,True
INV-200037,2026-06-08,4829,19067,3,2.25,80.97,17.99,26.99,53.97,27.0,0.33345683586513525,False,True
INV-200038,2026-05-20,3385,35918,5,8.75,67.45,8.99,13.49,44.95,22.5,0.3335804299481097,False,True
INV-200039,2026-04-09,2190,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200040,2026-02-28,3385,11788,5,8.75,73.15,9.75,14.63,48.75,24.400000000000006,0.3335611756664389,False,True
INV-200041,2026-06-12,2633,64866,9,6.75,337.41,24.99,37.49,224.91,112.50000000000003,0.3334222459322487,False,True
INV-200042,2026-05-19,3385,11788,9,15.75,131.67,9.75,14.63,87.75,43.91999999999999,0.3335611756664388,False,True
INV-200043,2026-02-05,2648,43336,5,3.75,61.9,8.25,12.38,41.25,20.65,0.33360258481421645,False,True
INV-200044,2026-04-04,4829,77779,5,1.88,60.5,11.0,12.1,55.0,5.5,0.09090909090909091,False,True
INV-200045,2026-02-12,2190,19067,2,1.5,53.98,17.99,26.99,35.98,18.0,0.33345683586513525,False,True
INV-200046,2026-04-14,3385,26827,4,3.0,75.0,12.5,18.75,50.0,25.0,0.3333333333333333,False,True
INV-200047,2026-07-11,3385,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200048,2026-02-25,3385,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200049,2026-03-05,2633,77779,6,2.25,72.6,11.0,12.1,66.0,6.599999999999994,0.09090909090909084,False,True
INV-200050,2026-05-19,3385,26827,5,3.75,93.75,12.5,18.75,62.5,31.25,0.3333333333333333,False,True
INV-200051,2026-02-18,5102,11788,5,8.75,73.15,9.75,14.63,48.75,24.400000000000006,0.3335611756664389,False,True
INV-200052,2026-05-22,2190,35918,11,19.25,148.39,8.99,13.49,98.89,49.499999999999986,0.33358042994810966,False,True
INV-200053,2026-02-20,2648,19067,2,1.5,53.98,17.99,26.99,35.98,18.0,0.33345683586513525,False,True
INV-200054,2026-03-16,5102,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200055,2026-02-15,5102,64866,3,2.25,112.47,24.99,37.49,74.97,37.5,0.3334222459322486,False,True
INV-200056,2026-04-02,2190,64866,5,3.75,187.45,24.99,37.49,124.94999999999999,62.5,0.3334222459322486,False,True
INV-200057,2026-07-07,3385,36308,8,8.0,54.0,4.5,6.75,36.0,18.0,0.3333333333333333,False,True
INV-200058,2026-06-13,2648,11788,7,12.25,102.41,9.75,14.63,68.25,34.16,0.3335611756664388,False,True
INV-200059,2026-04-18,2190,77779,5,1.88,60.5,11.0,12.1,55.0,5.5,0.09090909090909091,False,True
INV-200060,2026-03-26,2501,35918,4,7.0,53.96,8.99,13.49,35.96,18.0,0.3335804299481097,False,True
INV-200061,2026-04-06,2648,77779,2,0.75,24.2,11.0,12.1,22.0,2.1999999999999993,0.09090909090909088,False,True
INV-200062,2026-06-14,5102,64866,22,16.5,824.78,24.99,37.49,549.78,275.0,0.3334222459322486,False,True
INV-200063,2026-05-16,4829,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200064,2026-01-30,5102,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200065,2026-02-03,5102,43336,6,4.5,74.28,8.25,12.38,49.5,24.78,0.3336025848142165,False,True
INV-200066,2026-04-19,2633,35918,2,3.5,26.98,8.99,13.49,17.98,9.0,0.3335804299481097,False,True
INV-200067,2026-07-16,5102,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200068,2026-07-06,2648,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200069,2026-04-24,4829,36308,2,2.0,13.5,4.5,6.75,9.0,4.5,0.3333333333333333,False,True
INV-200070,2026-03-17,2648,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200071,2026-07-14,3385,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200072,2026-07-18,5102,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200073,2026-04-04,2648,26827,3,2.25,56.25,12.5,18.75,37.5,18.75,0.3333333333333333,False,True
INV-200074,2026-07-09,2501,11788,9,15.75,131.67,9.75,14.63,87.75,43.91999999999999,0.3335611756664388,False,True
INV-200075,2026-03-05,2190,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200076,2026-04-13,2190,11788,4,7.0,58.52,9.75,14.63,39.0,19.520000000000003,0.33356117566643884,False,True
INV-200077,2026-04-18,2648,26827,15,11.25,281.25,12.5,18.75,187.5,93.75,0.3333333333333333,False,True
INV-200078,2026-06-12,2501,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200079,2026-07-08,2633,64866,13,9.75,487.37,24.99,37.49,324.87,162.5,0.3334222459322486,False,True
INV-200080,2026-06-13,2190,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200081,2026-06-30,2633,43336,6,4.5,74.28,8.25,12.38,49.5,24.78,0.3336025848142165,False,True
INV-200082,2026-07-17,3385,43336,2,1.5,24.76,8.25,12.38,16.5,8.260000000000002,0.3336025848142165,False,True
INV-200083,2026-02-17,3385,36308,1,1.0,6.75,4.5,6.75,4.5,2.25,0.3333333333333333,False,True
INV-200084,2026-03-07,5102,64866,1,0.75,37.49,24.99,37.49,24.99,12.500000000000004,0.3334222459322487,False,True
INV-200085,2026-03-22,4829,19067,6,4.5,161.94,17.99,26.99,107.94,54.0,0.33345683586513525,False,True
INV-200086,2026-02-11,2501,19067,4,3.0,107.96,17.99,26.99,71.96,36.0,0.33345683586513525,False,True
INV-200087,2026-03-28,2190,26827,5,3.75,93.75,12.5,18.75,62.5,31.25,0.3333333333333333,False,True
INV-200088,2026-06-30,3385,36308,8,8.0,54.0,4.5,6.75,36.0,18.0,0.3333333333333333,False,True
INV-200089,2026-06-14,3385,36308,4,4.0,27.0,4.5,6.75,18.0,9.0,0.3333333333333333,False,True
INV-200090,2026-03-09,2190,26827,2,1.5,37.5,12.5,18.75,25.0,12.5,0.3333333333333333,False,True
INV-200091,2026-06-11,5102,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200092,2026-03-31,4829,43336,1,0.75,12.38,8.25,12.38,8.25,4.130000000000001,0.3336025848142165,False,True
INV-200093,2026-03-09,2501,35918,4,7.0,53.96,8.99,13.49,35.96,18.0,0.3335804299481097,False,True
INV-200094,2026-07-08,2648,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200095,2026-05-06,3385,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200096,2026-06-04,2190,26827,8,6.0,150.0,12.5,18.75,100.0,50.0,0.3333333333333333,False,True
INV-200097,2026-06-21,2190,64866,1,0.75,37.49,24.99,37.49,24.99,12.500000000000004,0.3334222459322487,False,True
INV-200098,2026-04-19,2501,35918,3,5.25,40.47,8.99,13.49,26.97,13.5,0.3335804299481097,False,True
INV-200099,2026-05-10,2501,77779,7,2.62,84.7,11.0,12.1,77.0,7.700000000000003,0.09090909090909094,False,True
INV-200100,2026-04-18,2501,77779,2,0.75,24.2,11.0,12.1,22.0,2.1999999999999993,0.09090909090909088,False,True
INV-200101,2026-06-11,3385,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200102,2026-03-01,5102,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200103,2026-02-09,2501,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200104,2026-07-19,2648,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200105,2026-03-06,3385,19067,4,3.0,107.96,17.99,26.99,71.96,36.0,0.33345683586513525,False,True
INV-200106,2026-03-31,2190,35918,5,8.75,67.45,8.99,13.49,44.95,22.5,0.3335804299481097,False,True
INV-200107,2026-05-13,2501,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200108,2026-07-28,2633,43336,7,5.25,86.66,8.25,12.38,57.75,28.909999999999997,0.33360258481421645,False,True
INV-200109,2026-04-07,2633,43336,4,3.0,49.52,8.25,12.38,33.0,16.520000000000003,0.3336025848142165,False,True
INV-200110,2026-02-15,4829,64866,1,0.75,37.49,24.99,37.49,24.99,12.500000000000004,0.3334222459322487,False,True
INV-200111,2026-07-03,2190,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200112,2026-07-08,2648,36308,12,12.0,81.0,4.5,6.75,54.0,27.0,0.3333333333333333,False,True
INV-200113,2026-03-11,5102,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200114,2026-03-16,2633,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200115,2026-04-04,4829,64866,4,3.0,149.96,,37.49,,,,False,False
INV-200116,2026-07-08,4829,26827,4,3.0,75.0,12.5,18.75,50.0,25.0,0.3333333333333333,False,True
INV-200117,2026-04-08,2648,26827,4,3.0,75.0,12.5,18.75,50.0,25.0,0.3333333333333333,False,True
INV-200118,2026-04-13,2190,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200119,2026-03-28,4829,43336,1,0.75,12.38,8.25,12.38,8.25,4.130000000000001,0.3336025848142165,False,True
INV-200120,2026-06-21,5102,36308,7,7.0,47.25,4.5,6.75,31.5,15.75,0.3333333333333333,False,True
INV-200121,2026-03-29,2633,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200122,2026-03-06,2633,77779,9,3.38,108.9,11.0,12.1,99.0,9.900000000000006,0.09090909090909095,False,True
INV-200123,2026-05-23,2633,19067,19,14.25,512.81,17.99,26.99,341.80999999999995,171.0,0.33345683586513525,False,True
INV-200124,2026-02-01,2190,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200125,2026-05-14,4829,64866,1,0.75,37.49,24.99,37.49,24.99,12.500000000000004,0.3334222459322487,False,True
INV-200126,2026-07-01,2648,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200127,2026-04-29,2501,35918,2,3.5,26.98,8.99,13.49,17.98,9.0,0.3335804299481097,False,True
INV-200128,2026-05-31,2633,64866,1,0.75,37.49,24.99,37.49,24.99,12.500000000000004,0.3334222459322487,False,True
INV-200129,2026-07-11,2190,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200130,2026-05-17,4829,77779,8,3.0,96.8,11.0,12.1,88.0,8.799999999999997,0.09090909090909088,False,True
INV-200131,2026-04-23,3385,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200132,2026-02-27,2501,77779,51,19.12,617.1,11.0,12.1,561.0,56.10000000000002,0.09090909090909094,False,True
INV-200133,2026-02-17,2633,19067,1,0.75,26.99,17.99,26.99,17.99,9.0,0.33345683586513525,False,True
INV-200134,2026-05-03,5102,26827,1,0.75,18.75,12.5,18.75,12.5,6.25,0.3333333333333333,False,True
INV-200135,2026-02-21,4829,36308,15,15.0,101.25,4.5,6.75,67.5,33.75,0.3333333333333333,False,True
INV-200136,2026-07-17,2648,43336,5,3.75,61.9,8.25,12.38,41.25,20.65,0.33360258481421645,False,True
INV-200137,2026-04-18,3385,35918,9,15.75,121.41,8.99,13.49,80.91,40.5,0.3335804299481097,False,True
INV-200138,2026-03-05,2633,77779,3,1.12,36.3,11.0,12.1,33.0,3.299999999999997,0.09090909090909084,False,True
INV-200139,2026-03-28,2190,77779,8,3.0,96.8,11.0,12.1,88.0,8.799999999999997,0.09090909090909088,False,True
INV-200140,2026-07-18,2633,43336,7,5.25,86.66,8.25,12.38,57.75,28.909999999999997,0.33360258481421645,False,True
INV-200141,2026-06-18,5102,36308,4,4.0,27.0,4.5,6.75,18.0,9.0,0.3333333333333333,False,True
INV-200142,2026-07-20,5102,11788,4,7.0,58.52,9.75,14.63,39.0,19.520000000000003,0.33356117566643884,False,True
INV-200143,2026-05-20,5102,64866,12,9.0,449.88,24.99,37.49,299.88,150.0,0.3334222459322486,False,True
INV-200144,2026-06-06,3385,19067,2,1.5,53.98,17.99,26.99,35.98,18.0,0.33345683586513525,False,True
INV-200145,2026-03-01,2648,77779,2,0.75,24.2,11.0,12.1,22.0,2.1999999999999993,0.09090909090909088,False,True
INV-200146,2026-02-16,3385,36308,3,3.0,20.25,4.5,6.75,13.5,6.75,0.3333333333333333,False,True
INV-200147,2026-03-14,2501,77779,3,1.12,36.3,11.0,12.1,33.0,3.299999999999997,0.09090909090909084,False,True
INV-200148,2026-05-15,2648,36308,5,5.0,33.75,4.5,6.75,22.5,11.25,0.3333333333333333,False,True
INV-200149,2026-05-09,3385,11788,2,3.5,29.26,9.75,14.63,19.5,9.760000000000002,0.33356117566643884,False,True
INV-200150,2026-05-10,3385,36308,3,3.0,20.25,4.5,6.75,13.5,6.75,0.3333333333333333,False,True
INV-200151,2026-04-19,2190,11788,3,5.25,43.89,9.75,14.63,29.25,14.64,0.33356117566643884,False,True
INV-200152,2026-02-01,3385,77779,1,0.38,12.1,11.0,12.1,11.0,1.0999999999999996,0.09090909090909088,False,True
INV-200153,2026-04-20,5102,11788,1,1.75,14.63,9.75,14.63,9.75,4.880000000000001,0.33356117566643884,False,True
INV-200154,2026-05-12,2648,35918,1,1.75,13.49,8.99,13.49,8.99,4.5,0.3335804299481097,False,True
INV-200155,2026-02-13,2648,43336,2,1.5,24.76,8.25,12.38,16.5,8.260000000000002,0.3336025848142165,False,True
