invoice_line_no,date,store,name,city,zipcode,county,category,category_name,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters
INV-200000,05/25/2026,4829,Casey's General Store #2879,ANKENY,50021.0,POLK,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,$11.00,$12.10,3,$36.30,1.12
INV-200001,2026-07-01,2648,WILKIE LIQUORS,Iowa City,52240,JOHNSON,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75 ,14.63 ,5,73.15 ,8.75
INV-200002,06/30/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,9,108.90,3.38
INV-200003,06/10/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,2,53.98,1.50
INV-200003,06/10/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1032080,IRISH WHISKIES,Pernod Ricard USA,19067,Jameson,12,750,17.99,26.99,2,53.98,1.50
INV-200004,05/30/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313.0,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,1,14.63,1.75
INV-200005,03/05/2026,5102,Corner Tap & Bottle,AMES,50010,STORY,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,1,6.75,1.00
INV-200006,2026-02-28,4829,Casey's General Store #2879,Ankeny,50021,POLK,1051010,IMPORTED BRANDIES,Moet Hennessy USA,64866,Hennessy VS,12,750,24.99,37.49,4,149.96,3.00
INV-200007,2026-03-24,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50 ,6.75 ,3,20.25 ,3.00
INV-200008,04/19/2026,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200009,2026-06-10,2190,"Central City Liquor, Inc.",DES MOINES,50310,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,7,$102.41,12.25
INV-200010,2026-03-29,2190,"  Central City Liquor, Inc.",DES MOINES,50310,POLK,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,2,37.50,1.50
INV-200011,2026-02-10,2501,Hy-Vee #3 / BDI / Des Moines,DES MOINES,50313,POLK,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,9.75,14.63,1,14.63,1.75
INV-200012,2026-06-30,3385,Sam's Club 8162,Davenport,52807,SCOTT,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,4,75.00,3.00
INV-200013,04/27/2026,2648,Wilkie Liquors,IOWA CITY,52240,JOHNSON,1031200,AMERICAN VODKAS,Fifth Generation Inc,26827,Tito's Handmade Vodka,12,750,12.50,18.75,1,18.75,0.75
INV-200014,19-Feb-2026,3385,Sam's Club 8162,DAVENPORT,52807,SCOTT,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50 ,6.75 ,1,6.75 ,1.00
INV-200015,2026-06-02,2633,HOMETOWN FOODS,CEDAR RAPIDS,52402,LINN,1031200,AMERICAN VODKAS,Sazerac Company Inc,36308,Mr Boston Vodka,12,1000,4.50,6.75,4,27.00,4.00
INV-200016,04/01/2026,4829,Casey's General Store #2879,ANKENY,50021,POLK,1081600,,Regional Spirits Co,77779,Dusty Shelf Cordial,6,375,11.00,12.10,1,12.10,0.38
INV-200017,02/15/2026,2633,Hometown Foods,CEDAR RAPIDS,52402,LINN,1031080,CANADIAN WHISKIES,Heaven Hill Brands,11788,Black Velvet,12,1750,$9.75,$14.63,7,$102.41,12.25
