Bright Fork Services LLC,,,,,,,,
Open Invoices,,,,,,,,
"As of July 29, 2026",,,,,,,,
,,,,,,,,
Num,Customer,Date,Due Date,Terms,Amount,Open Balance,Status,Last Payment
10501,Blue Harbor Auto Group,06/03/2026,07/03/2026,Net 30,"1,599.64",0.00,Paid,06/09/2026
10502,Blue Harbor Auto Group,05/18/2026,,Net 60,"3,033.81","3,033.81",Open,
10503,Blue Harbor Auto Group,06/22/2026,"Aug 06, 2026",Net 45,832.04,832.04,Open,
,Total Blue Harbor Auto Group,,,,"5,465.49","3,865.85",,
,,,,,,,,
10504,Blue Harbor Family Practice,06/24/2026,,Due on receipt,"2,452.25",612.55,Partial,06/29/2026
10505,Blue Harbor Family Practice,"Jul 11, 2026",08/10/2026,Net 30,575.45,575.45,Open,
10506,Blue Harbor Family Practice ,07/04/2026,08/03/2026,Net 30,369.51,0.00,Paid,07/09/2026
10507,Blue Harbor Family Practice,07/23/2026,09/06/2026,Net 45,"1,350.08","1,350.08",Open,
,Total Blue Harbor Family Practice,,,,"4,747.29","2,538.08",,
,,,,,,,,
10508,Blue Harbor HVAC,05/30/2026,06/14/2026,Net 15,"1,573.25",0.00,Paid,06/21/2026
,Total Blue Harbor HVAC,,,,"1,573.25",0.00,,
,,,,,,,,
10509,Brightwater Auto Group,07/28/2026,09/11/2026,Net 45,"9,842.16","9,842.16",Open,
10510,Brightwater Auto Group,"Jul 15, 2026",07/15/2026,Due on receipt,"1,834.84","1,834.84",Open,
10511,Brightwater Auto Group,07/15/2026,09/13/2026,Net 60,"1,698.61",0.00,Paid,07/17/2026
10512,Brightwater Auto Group,07/24/2026,08/23/2026,Net 30,583.85,285.85,Partial,08/22/2026
10513,Brightwater Auto Group,07/17/2026,"Aug 16, 2026",Net 30,"4,201.26","4,201.26",Open,
10514,Brightwater Auto Group,07/19/2026,"Sep 17, 2026",Net 60,"2,065.47","2,065.47",Open,
,Total Brightwater Auto Group,,,,"20,226.19","18,229.58",,
,,,,,,,,
10515,BRIGHTWATER FAMILY PRACTICE,07/21/2026,09/04/2026,Net 45,"2,524.76","2,524.76",Open,
