facility_id,facility_name,city,state,county,zip_code,admit_boarding_minutes,ed_median_minutes,ed_psych_median_minutes,left_without_being_seen_pct,stroke_scan_45min_pct,measures_reported,measures_possible,boarding_share
140005,North Grove County Hospital,North Grove,SD,Pine,50071,22.0,225.0,521.0,3.6,44.0,5,5,0.08906882591093117
140007,Prairie View Memorial Hospital,Prairie View,IA,Cedar,50430,206.0,236.0,691.0,7.0,53.0,5,5,0.4660633484162896
140019,Grand Junction Memorial Hospital,Grand Junction,NE,North,51328,124.0,128.0,299.0,1.2,102.0,5,5,0.49206349206349204
140028,River Ridge Medical Center,River Ridge,WI,North,51706,88.0,190.0,183.0,1.6,87.0,5,5,0.31654676258992803
140049,Pine Rapids Community Hospital,Pine Rapids,MO,Fair,50168,205.0,217.0,481.0,4.5,46.0,5,5,0.48578199052132703
140050,River View Medical Center,River View,KS,Prairie,55257,146.0,174.0,231.0,4.1,82.0,5,5,0.45625
140053,River Grove Regional Medical Center,River Grove,WI,Cedar,51899,179.0,164.0,418.0,2.6,37.0,5,5,0.521865889212828
140057,Elk Ridge County Hospital,Elk Ridge,MN,North,52865,324.0,201.0,378.0,2.5,,4,5,0.6171428571428571
140081,Elk Ridge County Hospital,Elk Ridge,KS,Fair,55313,128.0,71.0,362.0,1.3,68.0,5,5,0.6432160804020101
140089,North Haven County Hospital,North Haven,KS,Cedar,50579,22.0,164.0,47.0,3.9,65.0,5,5,0.11827956989247312
140111,Elk Rapids Medical Center,Elk Rapids,IA,Fair,51694,103.0,199.0,239.0,0.5,53.0,5,5,0.34105960264900664
140112,Pine Junction Community Hospital,Pine Junction,MO,Elk,50577,85.0,,55.0,0.6,54.0,4,5,
140113,Fair Bluff Health System,Fair Bluff,SD,River,51419,52.0,90.0,336.0,1.6,,4,5,0.36619718309859156
160002,Prairie View County Hospital,Prairie View,SD,Cedar,51571,68.0,92.0,557.0,2.0,77.0,5,5,0.425
