facility_id,facility_name,city,state,county,zip_code,condition,measure_id,measure_name,unit,score,sample_size,footnote_code,suppression_reason,period_start,period_end
170115,North View Regional Medical Center,North View,KS,Elk,51272,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,91.0,3146,,,01/01/2025,12/31/2025
260004,Elk Haven Medical Center,Elk Haven,NE,Cedar,53783,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,118.0,1428,,,01/01/2025,12/31/2025
260004,Elk Haven Medical Center,Elk Haven,NE,Cedar,53783,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,185.0,2328,,,01/01/2025,12/31/2025
260033,River Rapids Health System,River Rapids,KS,Elk,50760,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,,,25,Facility did not submit data,01/01/2025,12/31/2025
520098,Pine Bluff County Hospital,Pine Bluff,WI,Pine,50083,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,36.0,1091,,,01/01/2025,12/31/2025
170063,Elk Haven Medical Center,Elk Haven,MO,River,51294,Emergency Department,OP_22,Left without being seen,percent,,,1,Not available — measure not reported,01/01/2025,12/31/2025
170056,Pine Falls Community Hospital,Pine Falls,IL,Cedar,50608,Emergency Department,OP_22,Left without being seen,percent,2.2,2893,,,01/01/2025,12/31/2025
520038,Fair Grove Community Hospital,Fair Grove,IL,Fair,50856,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,423.0,1392,,,01/01/2025,12/31/2025
430014,Fair Rapids Regional Medical Center,Fair Rapids,IL,Cedar,51189,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,51.0,2503,,,01/01/2025,12/31/2025
260076,River View County Hospital,River View,SD,Pine,51294,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,,,1,Not available — measure not reported,01/01/2025,12/31/2025
430068,Grand Grove County Hospital,Grand Grove,MO,Fair,53807,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,,,5,Too few cases to report reliably,01/01/2025,12/31/2025
160102,River Bluff Health System,River Bluff,IL,Pine,52617,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,26.0,2532,,,01/01/2025,12/31/2025
140019,Grand Junction Memorial Hospital,Grand Junction,NE,North,51328,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,299.0,3760,,,01/01/2025,12/31/2025
240085,Grand Haven Community Hospital,Grand Haven,MN,Elk,50552,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,83.0,478,,,01/01/2025,12/31/2025
520090,River Bluff Health System,River Bluff,MO,Cedar,51621,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,20.0,169,,,01/01/2025,12/31/2025
260045,North Falls County Hospital,North Falls,MN,Prairie,51363,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,minutes,114.0,3399,,,01/01/2025,12/31/2025
160040,Grand Rapids Health System,Grand Rapids,NE,Cedar,52449,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,percent,84.0,2450,,,01/01/2025,12/31/2025
520099,Grand Ridge Community Hospital,Grand Ridge,KS,River,53606,Emergency Department,OP_22,Left without being seen,percent,2.1,4179,,,01/01/2025,12/31/2025
260032,Fair Junction County Hospital,Fair Junction,MN,Cedar,50132,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,minutes,153.0,162,,,01/01/2025,12/31/2025
430010,Grand Haven Medical Center,Grand Haven,MN,Elk,51296,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,minutes,253.0,1718,,,01/01/2025,12/31/2025
