Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Start Date,End Date
170115,North View Regional Medical Center,4692 Cedar St,North View,KS,51272,Pine,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,91,3146,,01/01/2025,12/31/2025
260004,Elk Haven Medical Center,6060 Fair St,Elk Haven,NE,53783,River,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit,118,1428,,01/01/2025,12/31/2025
260004,Elk Haven Medical Center,5737 Prairie St,Elk Haven,NE,57136,Cedar,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,185,2328,,01/01/2025,12/31/2025
260033,River Rapids Health System,9223 River St,River Rapids,KS,51065,Fair,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,Not Available,,25,01/01/2025,12/31/2025
520098,Pine Bluff County Hospital,7626 Cedar St,Pine Bluff,WI,55929,Pine,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,36,1091,,01/01/2025,12/31/2025
170063,Elk Haven Medical Center,7929 Prairie St,Elk Haven,MO,52704,Prairie,Emergency Department,OP_22,Left without being seen,,,1,01/01/2025,12/31/2025
170056,Pine Falls Community Hospital,1677 Elk St,Pine Falls,IL,54487,Cedar,Emergency Department,OP_22,Left without being seen,2.2,2893,,01/01/2025,12/31/2025
520038,Fair Grove Community Hospital,5249 Fair St,Fair Grove,IL,53335,Pine,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients,423,1392,,01/01/2025,12/31/2025
430014,Fair Rapids Regional Medical Center,8579 Elk St,Fair Rapids,IL,51297,Fair,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes,51,2503,,01/01/2025,12/31/2025
260076,River View County Hospital,4953 Fair St,River View,SD,53809,North,Emergency Department,ED_2b,Average (median) time patients spent in the emergency department after the doctor decided to admit them,,,1,01/01/2025,12/31/2025
